timestamp,mean_wind_dir,mean_wind_speed
2001-01-01,110.83333333333333,5.208333333333333
2001-01-02,163.75,8.0
2001-01-03,202.91666666666666,8.666666666666666
2001-01-04,195.83333333333334,5.541666666666667
2001-01-05,261.25,3.25
2001-01-06,255.0,10.875
2001-01-07,259.1666666666667,11.833333333333334
2001-01-08,281.6666666666667,10.041666666666666
2001-01-09,284.5833333333333,2.875
2001-01-10,66.66666666666667,5.541666666666667
2001-01-11,55.833333333333336,5.916666666666667
2001-01-12,71.66666666666667,6.166666666666667
2001-01-13,120.83333333333333,3.2916666666666665
2001-01-14,266.25,2.5416666666666665
2001-01-15,73.33333333333333,5.333333333333333
2001-01-16,83.33333333333333,3.6666666666666665
2001-01-17,231.25,2.4166666666666665
2001-01-18,306.25,3.0
2001-01-19,272.9166666666667,4.041666666666667
2001-01-20,221.66666666666666,3.5833333333333335
2001-01-21,104.58333333333333,7.708333333333333
2001-01-22,106.25,8.625
2001-01-23,129.16666666666666,7.666666666666667
2001-01-24,219.16666666666666,11.5
2001-01-25,192.5,6.0
2001-01-26,206.25,5.458333333333333
2001-01-27,254.58333333333334,7.791666666666667
2001-01-28,297.5,5.291666666666667
2001-01-29,267.5,4.875
2001-01-30,108.33333333333333,4.166666666666667
2001-01-31,218.33333333333334,3.2916666666666665
2001-02-01,117.08333333333333,3.4166666666666665
2001-02-02,237.91666666666666,4.083333333333333
2001-02-03,217.91666666666666,5.291666666666667
2001-02-04,99.58333333333333,5.75
2001-02-05,207.08333333333334,3.0416666666666665
2001-02-06,189.30432208407342,8.580112963599557
2001-02-07,250.83333333333334,9.458333333333334
2001-02-08,277.0833333333333,5.958333333333333
2001-02-09,245.0,3.5
2001-02-10,144.16666666666666,7.041666666666667
2001-02-11,250.41666666666666,7.75
2001-02-12,300.4166666666667,4.666666666666667
2001-02-13,282.5,3.2916666666666665
2001-02-14,220.83333333333334,2.3333333333333335
2001-02-15,265.8333333333333,5.0
2001-02-16,279.1666666666667,4.666666666666667
2001-02-17,252.5,3.625
2001-02-18,280.0,4.458333333333333
2001-02-19,250.0,5.083333333333333
2001-02-20,272.5,8.458333333333334
2001-02-21,283.3333333333333,11.291666666666666
2001-02-22,287.5,15.125
2001-02-23,297.9166666666667,10.333333333333334
2001-02-24,294.5833333333333,7.375
2001-02-25,280.4166666666667,8.125
2001-02-26,143.75,6.375
2001-02-27,130.41666666666666,4.583333333333333
2001-02-28,111.66666666666667,6.5
2001-03-01,310.4166666666667,4.791666666666667
2001-03-02,171.25,3.2083333333333335
2001-03-03,176.66666666666666,4.25
2001-03-04,227.08333333333334,2.4166666666666665
2001-03-05,164.16666666666666,3.5833333333333335
2001-03-06,97.91666666666667,8.416666666666666
2001-03-07,142.91666666666666,5.458333333333333
2001-03-08,121.66666666666667,5.5
2001-03-09,221.66666666666666,6.041666666666667
2001-03-10,196.66666666666666,6.291666666666667
2001-03-11,209.58333333333334,7.375
2001-03-12,257.0833333333333,9.208333333333334
2001-03-13,269.5833333333333,8.916666666666666
2001-03-14,287.0833333333333,8.083333333333334
2001-03-15,267.0833333333333,5.166666666666667
2001-03-16,65.0,6.958333333333333
2001-03-17,55.0,6.291666666666667
2001-03-18,131.66666666666666,6.25
2001-03-19,197.08333333333334,3.9583333333333335
2001-03-20,93.75,6.166666666666667
2001-03-21,82.08333333333333,8.958333333333334
2001-03-22,101.25,2.75
2001-03-23,250.83333333333334,3.0416666666666665
2001-03-24,59.166666666666664,4.333333333333333
2001-03-25,55.833333333333336,4.791666666666667
2001-03-26,74.16666666666667,6.791666666666667
2001-03-27,101.66666666666667,9.708333333333334
2001-03-28,143.33333333333334,4.916666666666667
2001-03-29,286.6666666666667,8.833333333333334
2001-03-30,254.58333333333334,9.958333333333334
2001-03-31,228.33333333333334,8.625
2001-04-01,211.66666666666666,5.25
2001-04-02,162.08333333333334,7.416666666666667
2001-04-03,234.58333333333334,10.208333333333334
2001-04-04,250.41666666666666,14.75
2001-04-05,219.58333333333334,11.583333333333334
2001-04-06,228.33333333333334,9.625
2001-04-07,290.4166666666667,10.083333333333334
2001-04-08,256.25,7.458333333333333
2001-04-09,216.25,7.25
2001-04-10,288.75,8.833333333333334
2001-04-11,240.0,4.791666666666667
2001-04-12,142.91666666666666,3.7916666666666665
2001-04-13,97.91666666666667,3.0416666666666665
2001-04-14,239.58333333333334,11.208333333333334
2001-04-15,255.0,10.25
2001-04-16,283.75,5.75
2001-04-17,273.3333333333333,9.708333333333334
2001-04-18,317.5,7.666666666666667
2001-04-19,320.0,8.583333333333334
2001-04-20,207.08333333333334,7.458333333333333
2001-04-21,236.66666666666666,4.125
2001-04-22,140.41666666666666,7.291666666666667
2001-04-23,158.75,5.875
2001-04-24,159.16666666666666,5.125
2001-04-25,194.16666666666666,3.9583333333333335
2001-04-26,264.1666666666667,6.041666666666667
2001-04-27,244.58333333333334,5.208333333333333
2001-04-28,250.0,9.416666666666666
2001-04-29,217.5,7.0
2001-04-30,203.33333333333334,4.0
2001-05-01,149.16666666666666,5.166666666666667
2001-05-02,230.41666666666666,3.0833333333333335
2001-05-03,250.41666666666666,4.833333333333333
2001-05-04,196.66666666666666,4.041666666666667
2001-05-05,134.58333333333334,4.416666666666667
2001-05-06,121.25,4.333333333333333
2001-05-07,162.91666666666666,4.333333333333333
2001-05-08,153.33333333333334,3.8333333333333335
2001-05-09,119.16666666666667,5.25
2001-05-10,109.16666666666667,5.958333333333333
2001-05-11,112.91666666666667,4.833333333333333
2001-05-12,129.16666666666666,4.375
2001-05-13,105.83333333333333,5.333333333333333
2001-05-14,162.91666666666666,5.083333333333333
2001-05-15,88.75,4.0
2001-05-16,180.41666666666666,4.791666666666667
2001-05-17,221.66666666666666,5.375
2001-05-18,285.8333333333333,10.916666666666666
2001-05-19,290.0,7.166666666666667
2001-05-20,241.25,4.458333333333333
2001-05-21,182.5,2.8333333333333335
2001-05-22,191.25,3.625
2001-05-23,110.41666666666667,3.6666666666666665
2001-05-24,126.25,4.875
2001-05-25,122.08333333333333,5.625
2001-05-26,248.75,5.0
2001-05-27,254.16666666666666,8.416666666666666
2001-05-28,255.0,11.208333333333334
2001-05-29,273.75,17.333333333333332
2001-05-30,266.6666666666667,9.541666666666666
2001-05-31,283.75,12.833333333333334
2001-06-01,276.6666666666667,13.875
2001-06-02,259.5833333333333,8.958333333333334
2001-06-03,288.3333333333333,10.166666666666666
2001-06-04,281.6666666666667,12.041666666666666
2001-06-05,247.08333333333334,6.791666666666667
2001-06-06,252.5,8.958333333333334
2001-06-07,277.0833333333333,13.041666666666666
2001-06-08,283.75,10.291666666666666
2001-06-09,262.0833333333333,8.833333333333334
2001-06-10,247.91666666666666,5.5
2001-06-11,283.75,9.0
2001-06-12,200.41666666666666,4.291666666666667
2001-06-13,190.0,3.25
2001-06-14,145.0,4.833333333333333
2001-06-15,112.91666666666667,4.625
2001-06-16,196.25,5.333333333333333
2001-06-17,324.1666666666667,6.333333333333333
2001-06-18,264.1666666666667,3.7083333333333335
2001-06-19,237.5,5.291666666666667
2001-06-20,264.5833333333333,12.208333333333334
2001-06-21,283.75,9.958333333333334
2001-06-22,143.75,4.625
2001-06-23,107.91666666666667,5.583333333333333
2001-06-24,256.6666666666667,3.625
2001-06-25,188.75,4.0
2001-06-26,92.08333333333333,7.833333333333333
2001-06-27,234.58333333333334,8.041666666666666
2001-06-28,250.41666666666666,8.708333333333334
2001-06-29,216.66666666666666,7.666666666666667
2001-06-30,267.9166666666667,11.958333333333334
2001-07-01,277.5,9.083333333333334
2001-07-02,210.41666666666666,3.4583333333333335
2001-07-03,114.58333333333333,7.083333333333333
2001-07-04,57.5,6.375
2001-07-05,176.25,5.666666666666667
2001-07-06,264.1666666666667,4.666666666666667
2001-07-07,305.4166666666667,5.416666666666667
2001-07-08,284.1666666666667,11.041666666666666
2001-07-09,245.83333333333334,7.541666666666667
2001-07-10,233.75,8.083333333333334
2001-07-11,265.0,19.125
2001-07-12,263.75,14.541666666666666
2001-07-13,276.25,9.75
2001-07-14,296.25,6.875
2001-07-15,267.5,4.625
2001-07-16,181.25,3.375
2001-07-17,79.16666666666667,10.083333333333334
2001-07-18,120.83333333333333,9.333333333333334
2001-07-19,328.3333333333333,8.083333333333334
2001-07-20,200.41666666666666,4.416666666666667
2001-07-21,208.33333333333334,6.25
2001-07-22,256.25,8.291666666666666
